sample_id,dataset,modality,subject,split,node_count,edge_count
sample_000080_0011,ixi,mra,IXI176-HH-1604-MRA_IXI-HH,val,184,194
sample_000117_0009,ixi,mra,IXI274-HH-2294-MRA_IXI-HH,val,184,196
sample_000117_0011,ixi,mra,IXI274-HH-2294-MRA_IXI-HH,val,184,192
sample_000069_0118,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,183,196
sample_000104_0067,ixi,mra,IXI248-HH-1972-MRA_IXI-HH,test,183,198
sample_000123_0011,ixi,mra,IXI290-IOP-0874-MRA_IXI-IOP,test,183,211
sample_000075_0129,ixi,mra,IXI167-HH-1569-MRA_IXI-HH,train,182,186
sample_000121_0100,ixi,mra,IXI280-HH-1860-MRA_IXI-HH,train,182,195
sample_000062_0103,ixi,mra,IXI137-HH-1472-MRA_IXI-HH,train,181,195
sample_000138_0067,ixi,mra,IXI347-IOP-0927-MRA_IXI-IOP,train,181,209
sample_000059_0103,ixi,mra,IXI132-HH-1415-MRA_IXI-HH,train,180,189
sample_000069_0100,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,180,203
sample_000077_0119,ixi,mra,IXI170-Guys-0843-MRA_IXI-Guys,train,180,183
sample_000095_0028,ixi,mra,IXI219-Guys-0894-MRA_IXI-Guys,train,179,189
sample_000107_0009,ixi,mra,IXI254-HH-1705-MRA_IXI-HH,train,179,189
sample_000021_0116,ixi,mra,IXI071-Guys-0770-MRA_IXI-Guys,train,178,194
sample_000041_0031,ixi,mra,IXI102-HH-1416-MRA_IXI-HH,train,178,191
sample_000059_0029,ixi,mra,IXI132-HH-1415-MRA_IXI-HH,train,178,190
sample_000062_0101,ixi,mra,IXI137-HH-1472-MRA_IXI-HH,train,178,187
sample_000072_0112,ixi,mra,IXI163-HH-1621-MRA_IXI-HH,train,178,200
sample_000108_0011,ixi,mra,IXI256-HH-1723-MRA_IXI-HH,train,178,184
sample_000121_0101,ixi,mra,IXI280-HH-1860-MRA_IXI-HH,train,178,180
sample_000147_0069,ixi,mra,IXI425-IOP-0988-MRA_IXI-IOP,val,178,201
sample_000037_0013,ixi,mra,IXI096-HH-1391-MRA_IXI-HH,train,177,183
sample_000103_0119,ixi,mra,IXI246-Guys-0840-MRA_IXI-Guys,train,177,171
sample_000120_0121,ixi,mra,IXI278-HH-1771-MRA_IXI-HH,val,177,183
sample_000123_0028,ixi,mra,IXI290-IOP-0874-MRA_IXI-IOP,test,177,203
sample_000062_0119,ixi,mra,IXI137-HH-1472-MRA_IXI-HH,train,176,178
sample_000073_0112,ixi,mra,IXI165-HH-1589-MRA_IXI-HH,train,176,194
sample_000108_0069,ixi,mra,IXI256-HH-1723-MRA_IXI-HH,train,176,197
sample_000138_0064,ixi,mra,IXI347-IOP-0927-MRA_IXI-IOP,train,176,205
sample_000104_0069,ixi,mra,IXI248-HH-1972-MRA_IXI-HH,test,176,188
sample_000104_0119,ixi,mra,IXI248-HH-1972-MRA_IXI-HH,test,176,184
sample_000069_0102,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,175,197
sample_000121_0102,ixi,mra,IXI280-HH-1860-MRA_IXI-HH,train,175,195
sample_000006_0067,ixi,mra,IXI043-Guys-0714-MRA_IXI-Guys,val,175,207
sample_000036_0101,ixi,mra,IXI095-HH-1390-MRA_IXI-HH,train,174,187
sample_000073_0035,ixi,mra,IXI165-HH-1589-MRA_IXI-HH,train,174,177
sample_000079_0009,ixi,mra,IXI174-HH-1571-MRA_IXI-HH,train,174,177
sample_000107_0031,ixi,mra,IXI254-HH-1705-MRA_IXI-HH,train,174,180
sample_000051_0069,ixi,mra,IXI121-Guys-0772-MRA_IXI-Guys,val,174,190
sample_000058_0121,ixi,mra,IXI131-HH-1527-MRA_IXI-HH,val,174,183
sample_000054_0100,ixi,mra,IXI127-HH-1451-MRA_IXI-HH,test,174,190
sample_000101_0077,ixi,mra,IXI241-Guys-0833-MRA_IXI-Guys,test,174,184
sample_000050_0105,ixi,mra,IXI119-Guys-0765-MRA_IXI-Guys,train,173,173
sample_000107_0060,ixi,mra,IXI254-HH-1705-MRA_IXI-HH,train,173,186
sample_000120_0069,ixi,mra,IXI278-HH-1771-MRA_IXI-HH,val,173,184
sample_000004_0013,ixi,mra,IXI039-HH-1261-MRA_IXI-HH,train,172,182
sample_000036_0119,ixi,mra,IXI095-HH-1390-MRA_IXI-HH,train,172,186
sample_000060_0069,ixi,mra,IXI135-Guys-0779-MRA_IXI-Guys,train,172,196
sample_000073_0013,ixi,mra,IXI165-HH-1589-MRA_IXI-HH,train,172,171
sample_000097_0030,ixi,mra,IXI226-HH-1618-MRA_IXI-HH,train,172,189
sample_000107_0028,ixi,mra,IXI254-HH-1705-MRA_IXI-HH,train,172,189
sample_000122_0011,ixi,mra,IXI282-HH-2025-MRA_IXI-HH,train,172,174
sample_000117_0118,ixi,mra,IXI274-HH-2294-MRA_IXI-HH,val,172,193
sample_000147_0102,ixi,mra,IXI425-IOP-0988-MRA_IXI-IOP,val,172,204
sample_000123_0010,ixi,mra,IXI290-IOP-0874-MRA_IXI-IOP,test,172,197
sample_000041_0013,ixi,mra,IXI102-HH-1416-MRA_IXI-HH,train,171,185
sample_000064_0009,ixi,mra,IXI144-Guys-0788-MRA_IXI-Guys,train,171,183
sample_000069_0060,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,171,176
sample_000107_0010,ixi,mra,IXI254-HH-1705-MRA_IXI-HH,train,171,188
sample_000110_0030,ixi,mra,IXI262-HH-1861-MRA_IXI-HH,train,171,182
sample_000122_0067,ixi,mra,IXI282-HH-2025-MRA_IXI-HH,train,171,203
sample_000028_0067,ixi,mra,IXI084-Guys-0741-MRA_IXI-Guys,test,171,191
sample_000041_0112,ixi,mra,IXI102-HH-1416-MRA_IXI-HH,train,170,193
sample_000067_0105,ixi,mra,IXI150-HH-1550-MRA_IXI-HH,train,170,168
sample_000088_0009,ixi,mra,IXI201-HH-1588-MRA_IXI-HH,train,170,171
sample_000107_0119,ixi,mra,IXI254-HH-1705-MRA_IXI-HH,train,170,173
sample_000111_0119,ixi,mra,IXI263-HH-1684-MRA_IXI-HH,train,170,176
sample_000113_0011,ixi,mra,IXI267-HH-1772-MRA_IXI-HH,train,170,166
sample_000046_0117,ixi,mra,IXI107-Guys-0761-MRA_IXI-Guys,val,170,171
sample_000070_0030,ixi,mra,IXI160-HH-1637-MRA_IXI-HH,train,169,190
sample_000074_0011,ixi,mra,IXI166-Guys-0846-MRA_IXI-Guys,train,169,173
sample_000079_0024,ixi,mra,IXI174-HH-1571-MRA_IXI-HH,train,169,181
sample_000096_0061,ixi,mra,IXI222-Guys-0819-MRA_IXI-Guys,train,169,182
sample_000107_0078,ixi,mra,IXI254-HH-1705-MRA_IXI-HH,train,169,188
sample_000150_0069,ixi,mra,IXI462-IOP-1042-MRA_IXI-IOP,train,169,196
sample_000080_0031,ixi,mra,IXI176-HH-1604-MRA_IXI-HH,val,169,176
sample_000166_0067,ixi,mra,IXI580-IOP-1157-MRA_IXI-IOP,val,169,201
sample_000066_0119,ixi,mra,IXI148-HH-1453-MRA_IXI-HH,test,169,171
sample_000062_0031,ixi,mra,IXI137-HH-1472-MRA_IXI-HH,train,168,181
sample_000097_0010,ixi,mra,IXI226-HH-1618-MRA_IXI-HH,train,168,176
sample_000023_0009,ixi,mra,IXI074-Guys-0771-MRA_IXI-Guys,val,168,166
sample_000086_0010,ixi,mra,IXI196-Guys-0805-MRA_IXI-Guys,val,168,177
sample_000101_0011,ixi,mra,IXI241-Guys-0833-MRA_IXI-Guys,test,168,165
sample_000018_0118,ixi,mra,IXI068-Guys-0756-MRA_IXI-Guys,train,167,178
sample_000049_0010,ixi,mra,IXI113-Guys-0776-MRA_IXI-Guys,train,167,182
sample_000079_0025,ixi,mra,IXI174-HH-1571-MRA_IXI-HH,train,167,179
sample_000144_0112,ixi,mra,IXI395-IOP-0969-MRA_IXI-IOP,train,167,188
sample_000080_0030,ixi,mra,IXI176-HH-1604-MRA_IXI-HH,val,167,179
sample_000041_0032,ixi,mra,IXI102-HH-1416-MRA_IXI-HH,train,166,183
sample_000043_0026,ixi,mra,IXI104-HH-1450-MRA_IXI-HH,train,166,176
sample_000085_0011,ixi,mra,IXI195-HH-1620-MRA_IXI-HH,train,166,171
sample_000096_0009,ixi,mra,IXI222-Guys-0819-MRA_IXI-Guys,train,166,168
sample_000113_0029,ixi,mra,IXI267-HH-1772-MRA_IXI-HH,train,166,169
sample_000121_0103,ixi,mra,IXI280-HH-1860-MRA_IXI-HH,train,166,169
sample_000121_0121,ixi,mra,IXI280-HH-1860-MRA_IXI-HH,train,166,166
sample_000154_0011,ixi,mra,IXI475-IOP-1139-MRA_IXI-IOP,train,166,172
sample_000086_0117,ixi,mra,IXI196-Guys-0805-MRA_IXI-Guys,val,166,174
sample_000115_0118,ixi,mra,IXI269-Guys-0839-MRA_IXI-Guys,val,166,189
sample_000120_0087,ixi,mra,IXI278-HH-1771-MRA_IXI-HH,val,166,171
sample_000044_0101,ixi,mra,IXI105-HH-1471-MRA_IXI-HH,train,165,177
sample_000064_0069,ixi,mra,IXI144-Guys-0788-MRA_IXI-Guys,train,165,181
sample_000072_0113,ixi,mra,IXI163-HH-1621-MRA_IXI-HH,train,165,171
sample_000077_0117,ixi,mra,IXI170-Guys-0843-MRA_IXI-Guys,train,165,157
sample_000095_0010,ixi,mra,IXI219-Guys-0894-MRA_IXI-Guys,train,165,165
sample_000107_0100,ixi,mra,IXI254-HH-1705-MRA_IXI-HH,train,165,175
sample_000150_0066,ixi,mra,IXI462-IOP-1042-MRA_IXI-IOP,train,165,192
sample_000120_0011,ixi,mra,IXI278-HH-1771-MRA_IXI-HH,val,165,163
sample_000094_0030,ixi,mra,IXI218-HH-1815-MRA_IXI-HH,test,165,184
sample_000061_0067,ixi,mra,IXI136-HH-1452-MRA_IXI-HH,train,164,192
sample_000064_0011,ixi,mra,IXI144-Guys-0788-MRA_IXI-Guys,train,164,170
sample_000067_0009,ixi,mra,IXI150-HH-1550-MRA_IXI-HH,train,164,167
sample_000067_0103,ixi,mra,IXI150-HH-1550-MRA_IXI-HH,train,164,165
sample_000069_0062,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,164,170
sample_000069_0064,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,164,182
sample_000069_0120,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,164,172
sample_000072_0133,ixi,mra,IXI163-HH-1621-MRA_IXI-HH,train,164,172
sample_000074_0010,ixi,mra,IXI166-Guys-0846-MRA_IXI-Guys,train,164,180
sample_000078_0067,ixi,mra,IXI173-HH-1590-MRA_IXI-HH,train,164,184
sample_000111_0117,ixi,mra,IXI263-HH-1684-MRA_IXI-HH,train,164,158
sample_000144_0077,ixi,mra,IXI395-IOP-0969-MRA_IXI-IOP,train,164,177
sample_000084_0069,ixi,mra,IXI194-Guys-0818-MRA_IXI-Guys,val,164,173
sample_000084_0118,ixi,mra,IXI194-Guys-0818-MRA_IXI-Guys,val,164,181
sample_000059_0011,ixi,mra,IXI132-HH-1415-MRA_IXI-HH,train,163,170
sample_000070_0009,ixi,mra,IXI160-HH-1637-MRA_IXI-HH,train,163,160
sample_000070_0028,ixi,mra,IXI160-HH-1637-MRA_IXI-HH,train,163,175
sample_000070_0102,ixi,mra,IXI160-HH-1637-MRA_IXI-HH,train,163,189
sample_000088_0011,ixi,mra,IXI201-HH-1588-MRA_IXI-HH,train,163,159
sample_000071_0119,ixi,mra,IXI162-HH-1548-MRA_IXI-HH,val,163,171
sample_000076_0009,ixi,mra,IXI168-HH-1607-MRA_IXI-HH,val,163,164
sample_000115_0137,ixi,mra,IXI269-Guys-0839-MRA_IXI-Guys,val,163,167
sample_000147_0103,ixi,mra,IXI425-IOP-0988-MRA_IXI-IOP,val,163,176
sample_000020_0100,ixi,mra,IXI070-Guys-0767-MRA_IXI-Guys,train,162,175
sample_000065_0060,ixi,mra,IXI146-HH-1389-MRA_IXI-HH,train,162,169
sample_000085_0131,ixi,mra,IXI195-HH-1620-MRA_IXI-HH,train,162,166
sample_000107_0101,ixi,mra,IXI254-HH-1705-MRA_IXI-HH,train,162,161
sample_000115_0011,ixi,mra,IXI269-Guys-0839-MRA_IXI-Guys,val,162,162
sample_000037_0011,ixi,mra,IXI096-HH-1391-MRA_IXI-HH,train,161,161
sample_000037_0132,ixi,mra,IXI096-HH-1391-MRA_IXI-HH,train,161,179
sample_000047_0028,ixi,mra,IXI111-Guys-0734-MRA_IXI-Guys,train,161,176
sample_000050_0009,ixi,mra,IXI119-Guys-0765-MRA_IXI-Guys,train,161,159
sample_000055_0011,ixi,mra,IXI128-HH-1470-MRA_IXI-HH,train,161,153
sample_000070_0103,ixi,mra,IXI160-HH-1637-MRA_IXI-HH,train,161,168
sample_000073_0031,ixi,mra,IXI165-HH-1589-MRA_IXI-HH,train,161,171
sample_000113_0133,ixi,mra,IXI267-HH-1772-MRA_IXI-HH,train,161,155
sample_000138_0066,ixi,mra,IXI347-IOP-0927-MRA_IXI-IOP,train,161,185
sample_000148_0033,ixi,mra,IXI426-IOP-1011-MRA_IXI-IOP,train,161,173
sample_000080_0013,ixi,mra,IXI176-HH-1604-MRA_IXI-HH,val,161,159
sample_000117_0028,ixi,mra,IXI274-HH-2294-MRA_IXI-HH,val,161,169
sample_000094_0028,ixi,mra,IXI218-HH-1815-MRA_IXI-HH,test,161,178
sample_000044_0103,ixi,mra,IXI105-HH-1471-MRA_IXI-HH,train,160,166
sample_000073_0034,ixi,mra,IXI165-HH-1589-MRA_IXI-HH,train,160,177
sample_000078_0069,ixi,mra,IXI173-HH-1590-MRA_IXI-HH,train,160,172
sample_000097_0011,ixi,mra,IXI226-HH-1618-MRA_IXI-HH,train,160,159
sample_000097_0028,ixi,mra,IXI226-HH-1618-MRA_IXI-HH,train,160,167
sample_000103_0009,ixi,mra,IXI246-Guys-0840-MRA_IXI-Guys,train,160,167
sample_000105_0007,ixi,mra,IXI252-HH-1693-MRA_IXI-HH,train,160,161
sample_000106_0011,ixi,mra,IXI253-HH-1694-MRA_IXI-HH,train,160,156
sample_000136_0132,ixi,mra,IXI340-IOP-0915-MRA_IXI-IOP,train,160,183
sample_000023_0007,ixi,mra,IXI074-Guys-0771-MRA_IXI-Guys,val,160,164
sample_000115_0135,ixi,mra,IXI269-Guys-0839-MRA_IXI-Guys,val,160,165
sample_000117_0031,ixi,mra,IXI274-HH-2294-MRA_IXI-HH,val,160,162
sample_000033_0013,ixi,mra,IXI092-HH-1436-MRA_IXI-HH,train,159,163
sample_000041_0009,ixi,mra,IXI102-HH-1416-MRA_IXI-HH,train,159,155
sample_000061_0101,ixi,mra,IXI136-HH-1452-MRA_IXI-HH,train,159,172
sample_000064_0100,ixi,mra,IXI144-Guys-0788-MRA_IXI-Guys,train,159,173
sample_000069_0011,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,159,166
sample_000070_0118,ixi,mra,IXI160-HH-1637-MRA_IXI-HH,train,159,172
sample_000073_0077,ixi,mra,IXI165-HH-1589-MRA_IXI-HH,train,159,172
sample_000150_0067,ixi,mra,IXI462-IOP-1042-MRA_IXI-IOP,train,159,192
sample_000028_0069,ixi,mra,IXI084-Guys-0741-MRA_IXI-Guys,test,159,168
sample_000002_0101,ixi,mra,IXI034-HH-1260-MRA_IXI-HH,train,158,167
sample_000008_0075,ixi,mra,IXI048-HH-1326-MRA_IXI-HH,train,158,179
sample_000018_0117,ixi,mra,IXI068-Guys-0756-MRA_IXI-Guys,train,158,155
sample_000041_0077,ixi,mra,IXI102-HH-1416-MRA_IXI-HH,train,158,175
sample_000072_0013,ixi,mra,IXI163-HH-1621-MRA_IXI-HH,train,158,158
sample_000073_0133,ixi,mra,IXI165-HH-1589-MRA_IXI-HH,train,158,153
sample_000079_0026,ixi,mra,IXI174-HH-1571-MRA_IXI-HH,train,158,171
sample_000085_0013,ixi,mra,IXI195-HH-1620-MRA_IXI-HH,train,158,156
sample_000023_0027,ixi,mra,IXI074-Guys-0771-MRA_IXI-Guys,val,158,166
sample_000080_0029,ixi,mra,IXI176-HH-1604-MRA_IXI-HH,val,158,171
sample_000086_0069,ixi,mra,IXI196-Guys-0805-MRA_IXI-Guys,val,158,174
sample_000149_0067,ixi,mra,IXI430-IOP-0990-MRA_IXI-IOP,val,158,184
sample_000054_0009,ixi,mra,IXI127-HH-1451-MRA_IXI-HH,test,158,162
sample_000104_0087,ixi,mra,IXI248-HH-1972-MRA_IXI-HH,test,158,152
sample_000000_0075,ixi,mra,IXI013-HH-1212-MRA_IXI-HH,train,157,174
sample_000041_0033,ixi,mra,IXI102-HH-1416-MRA_IXI-HH,train,157,172
sample_000053_0100,ixi,mra,IXI123-Guys-0774-MRA_IXI-Guys,train,157,173
sample_000059_0118,ixi,mra,IXI132-HH-1415-MRA_IXI-HH,train,157,170
sample_000060_0117,ixi,mra,IXI135-Guys-0779-MRA_IXI-Guys,train,157,149
sample_000069_0028,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,157,176
sample_000073_0011,ixi,mra,IXI165-HH-1589-MRA_IXI-HH,train,157,158
sample_000073_0113,ixi,mra,IXI165-HH-1589-MRA_IXI-HH,train,157,158
sample_000095_0100,ixi,mra,IXI219-Guys-0894-MRA_IXI-Guys,train,157,167
sample_000121_0009,ixi,mra,IXI280-HH-1860-MRA_IXI-HH,train,157,162
sample_000004_0113,ixi,mra,IXI039-HH-1261-MRA_IXI-HH,train,156,163
sample_000033_0033,ixi,mra,IXI092-HH-1436-MRA_IXI-HH,train,156,158
sample_000036_0103,ixi,mra,IXI095-HH-1390-MRA_IXI-HH,train,156,157
sample_000044_0011,ixi,mra,IXI105-HH-1471-MRA_IXI-HH,train,156,166
sample_000062_0067,ixi,mra,IXI137-HH-1472-MRA_IXI-HH,train,156,172
sample_000063_0066,ixi,mra,IXI140-Guys-0787-MRA_IXI-Guys,train,156,181
sample_000069_0029,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,156,161
sample_000069_0046,ixi,mra,IXI159-HH-1549-MRA_IXI-HH,train,156,168
sample_000088_0067,ixi,mra,IXI201-HH-1588-MRA_IXI-HH,train,156,177
sample_000122_0009,ixi,mra,IXI282-HH-2025-MRA_IXI-HH,train,156,150
sample_000120_0028,ixi,mra,IXI278-HH-1771-MRA_IXI-HH,val,156,174
sample_000003_0100,ixi,mra,IXI035-IOP-0873-MRA_IXI-IOP,test,156,170
sample_000101_0074,ixi,mra,IXI241-Guys-0833-MRA_IXI-Guys,test,156,179
sample_000123_0029,ixi,mra,IXI290-IOP-0874-MRA_IXI-IOP,test,156,176
sample_000041_0115,ixi,mra,IXI102-HH-1416-MRA_IXI-HH,train,155,160
sample_000070_0010,ixi,mra,IXI160-HH-1637-MRA_IXI-HH,train,155,157
sample_000110_0009,ixi,mra,IXI262-HH-1861-MRA_IXI-HH,train,155,155
sample_000122_0101,ixi,mra,IXI282-HH-2025-MRA_IXI-HH,train,155,156
sample_000150_0030,ixi,mra,IXI462-IOP-1042-MRA_IXI-IOP,train,155,172
sample_000152_0067,ixi,mra,IXI469-IOP-1136-MRA_IXI-IOP,train,155,181
sample_000152_0085,ixi,mra,IXI469-IOP-1136-MRA_IXI-IOP,train,155,181
sample_000076_0111,ixi,mra,IXI168-HH-1607-MRA_IXI-HH,val,155,166
sample_000084_0087,ixi,mra,IXI194-Guys-0818-MRA_IXI-Guys,val,155,164
sample_000120_0029,ixi,mra,IXI278-HH-1771-MRA_IXI-HH,val,155,158
sample_000147_0051,ixi,mra,IXI425-IOP-0988-MRA_IXI-IOP,val,155,171
sample_000104_0085,ixi,mra,IXI248-HH-1972-MRA_IXI-HH,test,155,143
sample_000004_0068,ixi,mra,IXI039-HH-1261-MRA_IXI-HH,train,154,151
sample_000009_0135,ixi,mra,IXI050-Guys-0711-MRA_IXI-Guys,train,154,151
sample_000032_0013,ixi,mra,IXI091-Guys-0762-MRA_IXI-Guys,train,154,146
sample_000064_0010,ixi,mra,IXI144-Guys-0788-MRA_IXI-Guys,train,154,168
sample_000065_0062,ixi,mra,IXI146-HH-1389-MRA_IXI-HH,train,154,155
sample_000078_0117,ixi,mra,IXI173-HH-1590-MRA_IXI-HH,train,154,153
sample_000083_0117,ixi,mra,IXI189-Guys-0799-MRA_IXI-Guys,train,154,152
sample_000085_0133,ixi,mra,IXI195-HH-1620-MRA_IXI-HH,train,154,151
sample_000087_0009,ixi,mra,IXI197-Guys-0811-MRA_IXI-Guys,train,154,154
sample_000087_0118,ixi,mra,IXI197-Guys-0811-MRA_IXI-Guys,train,154,156
sample_000106_0060,ixi,mra,IXI253-HH-1694-MRA_IXI-HH,train,154,150
sample_000058_0031,ixi,mra,IXI131-HH-1527-MRA_IXI-HH,val,154,160
sample_000117_0100,ixi,mra,IXI274-HH-2294-MRA_IXI-HH,val,154,172
sample_000147_0028,ixi,mra,IXI425-IOP-0988-MRA_IXI-IOP,val,154,174
sample_000094_0031,ixi,mra,IXI218-HH-1815-MRA_IXI-HH,test,154,157
sample_000104_0010,ixi,mra,IXI248-HH-1972-MRA_IXI-HH,test,154,160
sample_000018_0069,ixi,mra,IXI068-Guys-0756-MRA_IXI-Guys,train,153,160
sample_000021_0099,ixi,mra,IXI071-Guys-0770-MRA_IXI-Guys,train,153,168
sample_000030_0032,ixi,mra,IXI086-Guys-0728-MRA_IXI-Guys,train,153,168
sample_000036_0100,ixi,mra,IXI095-HH-1390-MRA_IXI-HH,train,153,176
sample_000043_0091,ixi,mra,IXI104-HH-1450-MRA_IXI-HH,train,153,163
sample_000060_0067,ixi,mra,IXI135-Guys-0779-MRA_IXI-Guys,train,153,167
sample_000074_0028,ixi,mra,IXI166-Guys-0846-MRA_IXI-Guys,train,153,175
sample_000107_0030,ixi,mra,IXI254-HH-1705-MRA_IXI-HH,train,153,162
sample_000136_0133,ixi,mra,IXI340-IOP-0915-MRA_IXI-IOP,train,153,166
sample_000150_0100,ixi,mra,IXI462-IOP-1042-MRA_IXI-IOP,train,153,173
sample_000120_0118,ixi,mra,IXI278-HH-1771-MRA_IXI-HH,val,153,152
