index,dataset,modality,source_split,subject,nodes,edges,betti_0,betti_1,elapsed_seconds
46,ixi,mra,train,IXI107-Guys-0761-MRA_IXI-Guys,1393,1471,29,107,59.66947283499758
47,ixi,mra,train,IXI111-Guys-0734-MRA_IXI-Guys,1327,1418,15,106,64.17102286100271
48,ixi,mra,train,IXI112-Guys-0735-MRA_IXI-Guys,1237,1302,18,83,62.996752653998556
49,ixi,mra,train,IXI113-Guys-0776-MRA_IXI-Guys,1111,1174,17,80,54.29511434599408
50,ixi,mra,train,IXI119-Guys-0765-MRA_IXI-Guys,1051,1102,17,68,50.54539518500678
51,ixi,mra,train,IXI121-Guys-0772-MRA_IXI-Guys,1157,1221,29,93,51.64292014398961
52,ixi,mra,train,IXI122-Guys-0773-MRA_IXI-Guys,1355,1445,14,104,66.10779118401115
53,ixi,mra,train,IXI123-Guys-0774-MRA_IXI-Guys,1215,1286,20,91,58.049045834020944
54,ixi,mra,train,IXI127-HH-1451-MRA_IXI-HH,1453,1552,12,111,70.46269808901707
55,ixi,mra,train,IXI128-HH-1470-MRA_IXI-HH,1233,1284,13,64,68.54771445001825
56,ixi,mra,train,IXI129-Guys-0775-MRA_IXI-Guys,1324,1406,19,101,63.87283738399856
57,ixi,mra,train,IXI130-HH-1528-MRA_IXI-HH,1172,1250,19,97,58.706572644994594
58,ixi,mra,train,IXI131-HH-1527-MRA_IXI-HH,1631,1765,17,151,75.41367390501546
59,ixi,mra,train,IXI132-HH-1415-MRA_IXI-HH,1614,1747,20,153,67.3047609589994
60,ixi,mra,train,IXI135-Guys-0779-MRA_IXI-Guys,1300,1387,17,104,62.82348663799348
61,ixi,mra,train,IXI136-HH-1452-MRA_IXI-HH,1453,1574,14,135,67.7007270299946
62,ixi,mra,train,IXI137-HH-1472-MRA_IXI-HH,1328,1426,14,112,67.61332957199193
63,ixi,mra,train,IXI140-Guys-0787-MRA_IXI-Guys,1078,1153,17,92,62.21198737798841
64,ixi,mra,train,IXI144-Guys-0788-MRA_IXI-Guys,1406,1505,16,115,72.3233598730003
65,ixi,mra,train,IXI146-HH-1389-MRA_IXI-HH,1351,1451,14,114,65.07245934399543
66,ixi,mra,train,IXI148-HH-1453-MRA_IXI-HH,1388,1479,11,102,73.15023662598105
67,ixi,mra,train,IXI150-HH-1550-MRA_IXI-HH,1330,1410,9,89,62.83968507600366
68,ixi,mra,train,IXI156-Guys-0837-MRA_IXI-Guys,1277,1339,21,83,62.42199170900858
69,ixi,mra,train,IXI159-HH-1549-MRA_IXI-HH,1666,1818,10,162,66.05403328398825
70,ixi,mra,train,IXI160-HH-1637-MRA_IXI-HH,1587,1716,17,146,63.718332857999485
71,ixi,mra,train,IXI162-HH-1548-MRA_IXI-HH,1141,1218,10,87,56.8438952290162
72,ixi,mra,train,IXI163-HH-1621-MRA_IXI-HH,1371,1459,16,104,66.39093902500463
73,ixi,mra,train,IXI165-HH-1589-MRA_IXI-HH,1737,1880,15,158,73.90379686202505
74,ixi,mra,train,IXI166-Guys-0846-MRA_IXI-Guys,1372,1467,15,110,61.34686363799847
75,ixi,mra,train,IXI167-HH-1569-MRA_IXI-HH,1192,1243,15,66,63.581767813971965
76,ixi,mra,train,IXI168-HH-1607-MRA_IXI-HH,1573,1714,10,151,69.02980517901597
77,ixi,mra,train,IXI170-Guys-0843-MRA_IXI-Guys,1261,1320,22,81,60.73866924998583
78,ixi,mra,train,IXI173-HH-1590-MRA_IXI-HH,1468,1565,8,105,71.62516021099873
79,ixi,mra,train,IXI174-HH-1571-MRA_IXI-HH,1292,1400,10,118,59.217681239009835
80,ixi,mra,train,IXI176-HH-1604-MRA_IXI-HH,1179,1241,17,79,60.893704494985286
81,ixi,mra,train,IXI177-Guys-0831-MRA_IXI-Guys,1281,1363,18,100,61.797261389991036
82,ixi,mra,train,IXI179-Guys-0777-MRA_IXI-Guys,1236,1325,19,108,55.29155638499651
83,ixi,mra,train,IXI189-Guys-0799-MRA_IXI-Guys,1328,1418,16,106,65.72341978701297
84,ixi,mra,train,IXI194-Guys-0818-MRA_IXI-Guys,1218,1288,25,95,64.00341439599288
85,ixi,mra,train,IXI195-HH-1620-MRA_IXI-HH,1445,1557,19,131,70.9736932470114
86,ixi,mra,train,IXI196-Guys-0805-MRA_IXI-Guys,1426,1534,9,117,72.15833977397415
87,ixi,mra,train,IXI197-Guys-0811-MRA_IXI-Guys,1251,1324,15,88,72.6401288129855
88,ixi,mra,train,IXI201-HH-1588-MRA_IXI-HH,1486,1596,11,121,78.45657423700322
89,ixi,mra,train,IXI202-HH-1526-MRA_IXI-HH,1076,1132,8,64,56.88339496898698
90,ixi,mra,train,IXI205-HH-1649-MRA_IXI-HH,1086,1144,7,65,59.09419191800407
91,ixi,mra,train,IXI207-Guys-0809-MRA_IXI-Guys,1210,1244,31,65,61.81124294601614
92,ixi,mra,train,IXI214-HH-1636-MRA_IXI-HH,1223,1278,9,64,67.51792111698887
93,ixi,mra,train,IXI217-HH-1638-MRA_IXI-HH,1264,1326,9,71,67.8999209740141
94,ixi,mra,train,IXI218-HH-1815-MRA_IXI-HH,1743,1904,13,174,77.23621594699216
95,ixi,mra,train,IXI219-Guys-0894-MRA_IXI-Guys,1358,1415,31,88,63.11024848499801
96,ixi,mra,train,IXI222-Guys-0819-MRA_IXI-Guys,1202,1282,16,96,57.32839389599394
97,ixi,mra,train,IXI226-HH-1618-MRA_IXI-HH,1374,1454,18,98,66.01506119899568
98,ixi,mra,train,IXI234-IOP-0870-MRA_IXI-IOP,914,1000,1,87,47.84397152901511
99,ixi,mra,train,IXI238-IOP-0883-MRA_IXI-IOP,837,900,2,65,47.52042536900262
100,ixi,mra,train,IXI239-HH-2296-MRA_IXI-HH,1167,1241,5,79,60.04793877399061
101,ixi,mra,train,IXI241-Guys-0833-MRA_IXI-Guys,1351,1439,21,109,63.98143716302002
102,ixi,mra,train,IXI242-HH-1722-MRA_IXI-HH,1232,1301,10,79,82.37594665799406
103,ixi,mra,train,IXI246-Guys-0840-MRA_IXI-Guys,1246,1339,11,104,73.26452182899811
104,ixi,mra,train,IXI248-HH-1972-MRA_IXI-HH,1526,1625,11,110,70.93204550500377
105,ixi,mra,train,IXI252-HH-1693-MRA_IXI-HH,1403,1514,7,118,63.35069005101104
106,ixi,mra,train,IXI253-HH-1694-MRA_IXI-HH,1688,1803,12,127,83.21025906599243
107,ixi,mra,train,IXI254-HH-1705-MRA_IXI-HH,1569,1710,3,144,75.630295327981
108,ixi,mra,train,IXI256-HH-1723-MRA_IXI-HH,1621,1770,10,159,78.14158621599199
109,ixi,mra,train,IXI258-HH-1769-MRA_IXI-HH,1272,1361,1,90,66.50359531099093
110,ixi,mra,train,IXI262-HH-1861-MRA_IXI-HH,1371,1468,5,102,69.65136805397924
111,ixi,mra,train,IXI263-HH-1684-MRA_IXI-HH,1468,1542,5,79,74.98378699002205
112,ixi,mra,train,IXI265-Guys-0845-MRA_IXI-Guys,1420,1521,5,106,72.26352697599214
113,ixi,mra,train,IXI267-HH-1772-MRA_IXI-HH,1481,1569,5,93,74.56014343400602
114,ixi,mra,train,IXI268-Guys-0858-MRA_IXI-Guys,1249,1327,3,81,66.20377883999026
115,ixi,mra,train,IXI269-Guys-0839-MRA_IXI-Guys,1380,1483,7,110,70.93405581501429
116,ixi,mra,train,IXI270-Guys-0847-MRA_IXI-Guys,1046,1110,16,80,57.113046317972476
117,ixi,mra,train,IXI274-HH-2294-MRA_IXI-HH,1716,1848,6,138,83.13535909398342
118,ixi,mra,train,IXI276-HH-1840-MRA_IXI-HH,1297,1377,7,87,70.09693110198714
119,ixi,mra,train,IXI277-HH-1770-MRA_IXI-HH,1195,1267,4,76,81.56660059600836
120,ixi,mra,train,IXI278-HH-1771-MRA_IXI-HH,1600,1715,13,128,82.87158201599959
121,ixi,mra,train,IXI280-HH-1860-MRA_IXI-HH,1608,1732,5,129,74.66026684801909
122,ixi,mra,train,IXI282-HH-2025-MRA_IXI-HH,1341,1420,6,85,75.46337371799746
123,ixi,mra,train,IXI290-IOP-0874-MRA_IXI-IOP,1079,1173,1,95,53.50827010101057
124,ixi,mra,train,IXI291-IOP-0882-MRA_IXI-IOP,1128,1195,2,69,59.547219627012964
125,ixi,mra,train,IXI292-IOP-0877-MRA_IXI-IOP,798,877,1,80,48.01286767900456
126,ixi,mra,train,IXI293-IOP-0876-MRA_IXI-IOP,1250,1364,4,118,61.14919895600178
127,ixi,mra,train,IXI294-IOP-0868-MRA_IXI-IOP,1061,1129,1,69,56.37012328498531
128,ixi,mra,train,IXI305-IOP-0871-MRA_IXI-IOP,1085,1149,1,65,56.78040393299307
129,ixi,mra,train,IXI306-IOP-0867-MRA_IXI-IOP,961,1016,1,56,58.237096810975345
130,ixi,mra,train,IXI307-IOP-0872-MRA_IXI-IOP,965,1050,2,87,50.424796748004155
131,ixi,mra,train,IXI315-IOP-0888-MRA_IXI-IOP,1140,1239,3,102,62.47331717101042
132,ixi,mra,train,IXI322-IOP-0891-MRA_IXI-IOP,1288,1415,2,129,63.877909898001235
133,ixi,mra,train,IXI332-IOP-1134-MRA_IXI-IOP,833,896,4,67,53.28711845801445
134,ixi,mra,train,IXI333-IOP-0926-MRA_IXI-IOP,1063,1138,2,77,63.762572664010804
135,ixi,mra,train,IXI337-IOP-0929-MRA_IXI-IOP,1086,1156,2,72,61.35140079900157
136,ixi,mra,train,IXI340-IOP-0915-MRA_IXI-IOP,1102,1212,3,113,60.24772715198924
137,ixi,mra,train,IXI345-IOP-0928-MRA_IXI-IOP,890,954,2,66,50.512201006989926
138,ixi,mra,train,IXI347-IOP-0927-MRA_IXI-IOP,1169,1285,4,120,58.203662774001714
139,ixi,mra,train,IXI371-IOP-0970-MRA_IXI-IOP,890,972,5,87,55.230417263985146
140,ixi,mra,train,IXI373-IOP-0967-MRA_IXI-IOP,778,831,1,54,46.3300355419924
141,ixi,mra,train,IXI378-IOP-0972-MRA_IXI-IOP,831,892,1,62,44.84694905401557
142,ixi,mra,train,IXI382-IOP-1135-MRA_IXI-IOP,862,917,6,61,45.76111430700985
143,ixi,mra,train,IXI388-IOP-0973-MRA_IXI-IOP,1041,1097,5,61,57.99840902502183
144,ixi,mra,train,IXI395-IOP-0969-MRA_IXI-IOP,1128,1231,2,105,63.57121348197688
145,ixi,mra,train,IXI423-IOP-0974-MRA_IXI-IOP,959,1034,2,77,60.4521261100017
146,ixi,mra,train,IXI424-IOP-0991-MRA_IXI-IOP,944,1017,3,76,56.67737601499539
147,ixi,mra,train,IXI425-IOP-0988-MRA_IXI-IOP,1269,1404,3,138,63.295626064995304
148,ixi,mra,train,IXI426-IOP-1011-MRA_IXI-IOP,1289,1392,3,106,64.74339393398259
149,ixi,mra,train,IXI430-IOP-0990-MRA_IXI-IOP,882,955,5,78,50.38382576400181
150,ixi,mra,train,IXI462-IOP-1042-MRA_IXI-IOP,1244,1398,1,155,57.19763530002092
151,ixi,mra,train,IXI463-IOP-1043-MRA_IXI-IOP,1077,1164,1,88,58.352207563002594
152,ixi,mra,train,IXI469-IOP-1136-MRA_IXI-IOP,1094,1202,1,109,53.14696729698335
153,ixi,mra,train,IXI474-IOP-1138-MRA_IXI-IOP,1120,1187,1,68,56.30427971700556
154,ixi,mra,train,IXI475-IOP-1139-MRA_IXI-IOP,1285,1369,4,88,84.79928928299341
155,ixi,mra,train,IXI477-IOP-1141-MRA_IXI-IOP,1208,1322,3,117,63.791378777998034
156,ixi,mra,train,IXI478-IOP-1142-MRA_IXI-IOP,1238,1345,1,108,64.18569504100014
157,ixi,mra,train,IXI510-IOP-1143-MRA_IXI-IOP,1225,1311,1,87,62.22342610600754
158,ixi,mra,train,IXI517-IOP-1144-MRA_IXI-IOP,979,1068,1,90,56.67305845298688
159,ixi,mra,train,IXI541-IOP-1146-MRA_IXI-IOP,1063,1149,3,89,56.79651393101085
160,ixi,mra,train,IXI542-IOP-1147-MRA_IXI-IOP,995,1061,6,72,51.30831032298738
161,ixi,mra,train,IXI547-IOP-1149-MRA_IXI-IOP,862,943,4,85,47.01929859598749
162,ixi,mra,train,IXI553-IOP-1151-MRA_IXI-IOP,1017,1112,2,97,58.438976609992096
163,ixi,mra,train,IXI561-IOP-1152-MRA_IXI-IOP,1041,1116,1,76,52.59335195002495
164,ixi,mra,train,IXI563-IOP-1153-MRA_IXI-IOP,861,924,2,65,45.14872989998548
165,ixi,mra,train,IXI571-IOP-1154-MRA_IXI-IOP,1069,1138,1,70,51.40836255799513
166,ixi,mra,train,IXI580-IOP-1157-MRA_IXI-IOP,1261,1388,3,130,61.81370573301683
167,ixi,mra,train,IXI588-IOP-1158-MRA_IXI-IOP,1007,1079,3,75,68.41710412999964
168,ixi,mra,train,IXI596-IOP-1160-MRA_IXI-IOP,1124,1191,3,70,65.23423389100935
169,ixi,mra,train,IXI597-IOP-1161-MRA_IXI-IOP,1117,1197,3,83,54.502762647985946
170,topbrain,mr,train,topcow_mr_001,692,734,4,46,103.24589170399122
171,topbrain,mr,train,topcow_mr_002,756,795,5,44,114.59932983998442
172,topbrain,mr,train,topcow_mr_003,732,755,9,32,97.77601447000052
173,topbrain,mr,train,topcow_mr_004,697,742,3,48,95.9198422000045
174,topbrain,mr,train,topcow_mr_005,499,520,4,25,77.69955663499422
175,topbrain,mr,train,topcow_mr_006,700,726,12,38,66.63203639097628
176,topbrain,mr,train,topcow_mr_007,676,702,10,36,108.27681079000467
177,topbrain,mr,train,topcow_mr_008,671,706,12,47,96.90643817500677
178,topbrain,mr,train,topcow_mr_010,405,409,5,9,69.18689697698574
179,topbrain,mr,train,topcow_mr_011,839,884,8,53,93.32150619997992
180,topbrain,mr,train,topcow_mr_012,827,865,9,47,103.22611988100107
181,topbrain,mr,train,topcow_mr_013,410,419,6,15,75.99870138699771
182,topbrain,mr,train,topcow_mr_014,358,359,7,8,90.93652982098865
183,topbrain,mr,train,topcow_mr_015,490,485,13,8,88.89411709000706
184,topbrain,mr,train,topcow_mr_016,447,449,11,13,71.3456437359855
185,topbrain,mr,train,topcow_mr_017,554,566,6,18,111.18810679600574
186,topbrain,mr,train,topcow_mr_018,713,737,6,30,116.64118878199952
187,topbrain,mr,train,topcow_mr_020,624,650,5,31,103.38693563101697
188,topbrain,mr,train,topcow_mr_021,663,691,5,33,115.4899503760098
189,topbrain,mr,train,topcow_mr_022,680,710,5,35,109.65212491099373
190,topbrain,mr,train,topcow_mr_023,587,601,7,21,84.90919637901243
191,topbrain,mr,train,topcow_mr_024,506,517,8,19,69.2803490080114
192,topbrain,mr,train,topcow_mr_025,585,603,7,25,88.16046569799073
193,topbrain,mr,train,topcow_mr_026,610,626,5,21,95.45051112998044
194,topbrain,mr,train,topcow_mr_027,777,811,8,42,96.53386286599562
195,topbrain,ct,train,topcow_ct_001,581,649,5,73,48.5433928190032
196,topbrain,ct,train,topcow_ct_002,536,567,6,37,53.05942194300587
197,topbrain,ct,train,topcow_ct_003,571,606,10,45,42.310147360985866
198,topbrain,ct,train,topcow_ct_004,691,711,12,32,79.7274716149841
199,topbrain,ct,train,topcow_ct_005,461,477,6,22,53.532421436015284
200,topbrain,ct,train,topcow_ct_006,465,481,13,29,38.22869819999323
201,topbrain,ct,train,topcow_ct_007,522,557,9,44,35.298655620979844
202,topbrain,ct,train,topcow_ct_008,357,363,11,17,38.60487466599443
203,topbrain,ct,train,topcow_ct_010,287,290,9,12,39.019592431985075
204,topbrain,ct,train,topcow_ct_011,589,641,4,56,53.866982662992086
205,topbrain,ct,train,topcow_ct_012,637,685,6,54,62.771821106027346
206,topbrain,ct,train,topcow_ct_013,352,363,8,19,38.69321497200872
207,topbrain,ct,train,topcow_ct_014,555,569,8,22,44.846823047992075
208,topbrain,ct,train,topcow_ct_015,542,560,6,24,47.45940928100026
209,topbrain,ct,train,topcow_ct_016,390,398,11,19,35.10620272500091
210,topbrain,ct,train,topcow_ct_017,487,500,10,23,91.41171120700892
211,topbrain,ct,train,topcow_ct_018,635,662,9,36,47.827400114998454
212,topbrain,ct,train,topcow_ct_020,453,475,8,30,50.58756764998543
213,topbrain,ct,test,topcow_ct_021,577,608,9,40,58.684476628986886
214,topbrain,ct,test,topcow_ct_022,653,692,4,43,66.75460006398498
215,topbrain,ct,test,topcow_ct_023,521,543,5,27,54.19530480197864
216,topbrain,ct,test,topcow_ct_024,394,414,8,28,45.98515700700227
217,topbrain,ct,test,topcow_ct_025,501,521,5,25,47.81713694302016
218,topbrain,ct,test,topcow_ct_026,570,592,9,31,49.67126248500426
219,topbrain,ct,test,topcow_ct_027,418,436,7,25,41.372753564995946
