policy,dataset,subject,patch_index,start_x,start_y,start_z,nodes,edges,topology_nodes,degree2_nodes,boundary_nodes
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,77,160,80,36,13,10,2,5,6
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,78,160,120,0,58,55,14,35,9
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,79,160,120,36,30,26,1,22,7
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,80,160,160,0,86,78,17,49,20
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,81,160,160,36,60,54,5,41,14
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,82,160,200,0,104,94,21,49,34
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,83,160,200,36,39,35,3,26,10
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,84,160,240,0,103,106,28,55,20
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,85,160,240,36,40,37,5,28,7
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,86,160,280,0,14,12,3,8,3
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,87,160,280,36,22,19,3,14,5
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,88,160,308,0,0,0,0,0,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,89,160,308,36,6,5,1,4,1
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,90,200,0,0,0,0,0,0,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,91,200,0,36,0,0,0,0,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,92,200,40,0,3,2,1,1,1
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,93,200,40,36,17,15,2,13,2
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,94,200,80,0,16,14,1,12,3
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,95,200,80,36,32,29,3,24,5
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,96,200,120,0,40,36,1,32,7
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,97,200,120,36,112,106,10,86,16
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,98,200,160,0,84,86,15,58,11
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,99,200,160,36,184,186,26,141,17
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,100,200,200,0,174,189,39,115,20
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,101,200,200,36,164,154,24,117,23
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,102,200,240,0,111,116,33,68,10
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,103,200,240,36,84,78,17,57,10
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,104,200,280,0,17,14,5,9,3
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,105,200,280,36,12,11,3,8,1
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,106,200,308,0,0,0,0,0,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,107,200,308,36,0,0,0,0,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,108,215,0,0,0,0,0,0,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,109,215,0,36,0,0,0,0,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,110,215,40,0,3,2,1,1,1
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,111,215,40,36,16,14,1,12,3
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,112,215,80,0,20,18,2,16,2
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,113,215,80,36,35,33,4,29,2
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,114,215,120,0,54,47,3,40,11
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,115,215,120,36,122,118,16,92,14
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,116,215,160,0,90,89,15,58,17
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,117,215,160,36,184,187,29,135,20
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,118,215,200,0,164,178,36,109,19
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,119,215,200,36,155,145,22,110,23
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,120,215,240,0,96,95,28,49,19
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,121,215,240,36,76,66,16,43,17
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,122,215,280,0,11,9,4,5,2
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,123,215,280,36,8,7,3,4,1
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,124,215,308,0,0,0,0,0,0
radius_1p5x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,125,215,308,36,0,0,0,0,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,0,0,0,0,0,0,0,0,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1,0,0,36,0,0,0,0,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,2,0,40,0,12,9,2,6,4
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,3,0,40,36,23,19,4,15,4
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,4,0,80,0,36,35,6,28,2
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,5,0,80,36,86,81,15,65,6
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,6,0,120,0,43,39,5,29,9
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,7,0,120,36,114,110,19,85,10
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,8,0,160,0,96,93,18,62,16
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,9,0,160,36,164,159,28,118,18
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,10,0,200,0,121,123,33,68,20
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,11,0,200,36,127,118,21,84,22
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,12,0,240,0,88,91,26,49,13
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,13,0,240,36,70,67,16,44,10
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,14,0,280,0,20,14,5,8,7
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,15,0,280,36,25,20,6,15,4
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,16,0,308,0,8,7,0,6,2
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,17,0,308,36,9,8,1,7,1
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,18,40,0,0,0,0,0,0,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,19,40,0,36,0,0,0,0,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,20,40,40,0,14,12,2,8,4
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,21,40,40,36,24,19,4,12,8
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,22,40,80,0,19,16,2,11,6
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,23,40,80,36,39,32,6,21,12
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,24,40,120,0,30,28,3,22,5
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,25,40,120,36,45,39,7,29,9
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,26,40,160,0,68,67,13,42,13
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,27,40,160,36,98,92,17,64,17
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,28,40,200,0,118,123,33,64,21
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,29,40,200,36,95,88,16,58,21
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,30,40,240,0,121,136,36,78,7
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,31,40,240,36,72,70,14,48,10
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,32,40,280,0,17,13,2,9,6
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,33,40,280,36,20,17,4,14,2
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,34,40,308,0,8,7,0,6,2
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,35,40,308,36,9,8,1,7,1
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,36,80,0,0,6,5,2,4,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,37,80,0,36,6,5,2,4,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,38,80,40,0,28,25,6,18,4
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,39,80,40,36,24,22,4,18,2
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,40,80,80,0,39,38,8,26,5
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,41,80,80,36,29,24,5,17,7
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,42,80,120,0,45,40,7,30,8
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,43,80,120,36,41,37,9,25,7
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,44,80,160,0,40,38,9,22,9
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,45,80,160,36,50,47,10,29,11
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,46,80,200,0,64,65,21,25,18
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,47,80,200,36,82,85,27,41,14
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,48,80,240,0,137,148,50,56,31
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,49,80,240,36,151,156,43,75,33
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,50,80,280,0,77,76,15,44,18
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,51,80,280,36,119,114,21,74,24
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,52,80,308,0,42,38,3,30,9
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,53,80,308,36,72,64,11,50,11
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,54,120,0,0,14,13,2,10,2
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,55,120,0,36,14,13,3,10,1
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,56,120,40,0,34,33,2,28,4
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,57,120,40,36,32,30,2,24,6
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,58,120,80,0,51,48,6,34,11
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,59,120,80,36,28,23,5,16,7
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,60,120,120,0,79,78,19,48,12
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,61,120,120,36,50,48,10,36,4
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,62,120,160,0,49,45,15,21,13
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,63,120,160,36,72,69,12,49,11
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,64,120,200,0,76,73,24,29,23
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,65,120,200,36,88,93,27,51,10
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,66,120,240,0,135,159,56,60,19
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,67,120,240,36,156,172,47,93,16
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,68,120,280,0,82,87,18,52,12
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,69,120,280,36,130,132,25,88,17
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,70,120,308,0,47,43,4,35,8
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,71,120,308,36,79,72,12,57,10
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,72,160,0,0,11,9,0,7,4
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,73,160,0,36,11,9,1,7,3
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,74,160,40,0,20,17,1,12,7
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,75,160,40,36,28,24,2,18,8
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,76,160,80,0,25,23,6,15,4
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,77,160,80,36,12,9,2,4,6
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,78,160,120,0,58,55,14,35,9
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,79,160,120,36,30,26,1,22,7
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,80,160,160,0,85,77,17,48,20
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,81,160,160,36,60,54,5,41,14
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,82,160,200,0,103,93,21,48,34
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,83,160,200,36,38,34,3,25,10
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,84,160,240,0,100,103,28,52,20
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,85,160,240,36,39,36,5,27,7
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,86,160,280,0,14,12,3,8,3
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,87,160,280,36,22,19,3,14,5
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,88,160,308,0,0,0,0,0,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,89,160,308,36,6,5,1,4,1
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,90,200,0,0,0,0,0,0,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,91,200,0,36,0,0,0,0,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,92,200,40,0,3,2,1,1,1
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,93,200,40,36,17,15,2,13,2
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,94,200,80,0,16,14,1,12,3
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,95,200,80,36,32,29,3,24,5
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,96,200,120,0,40,36,1,32,7
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,97,200,120,36,112,106,10,86,16
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,98,200,160,0,84,86,15,58,11
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,99,200,160,36,184,186,26,141,17
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,100,200,200,0,173,188,39,114,20
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,101,200,200,36,163,153,24,116,23
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,102,200,240,0,110,115,33,67,10
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,103,200,240,36,83,77,17,56,10
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,104,200,280,0,17,14,5,9,3
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,105,200,280,36,12,11,3,8,1
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,106,200,308,0,0,0,0,0,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,107,200,308,36,0,0,0,0,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,108,215,0,0,0,0,0,0,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,109,215,0,36,0,0,0,0,0
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,110,215,40,0,3,2,1,1,1
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,111,215,40,36,16,14,1,12,3
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,112,215,80,0,20,18,2,16,2
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,113,215,80,36,35,33,4,29,2
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,114,215,120,0,54,47,3,40,11
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,115,215,120,36,122,118,16,92,14
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,116,215,160,0,90,89,15,58,17
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,117,215,160,36,184,187,29,135,20
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,118,215,200,0,163,177,36,108,19
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,119,215,200,36,154,144,22,109,23
radius_2x_c095,ixi,IXI068-Guys-0756-MRA_IXI-Guys,120,215,240,0,95,94,28,48,19
