index,dataset,modality,split,subject,image,label,shape_x,shape_y,shape_z,spacing_x,spacing_y,spacing_z
10,ixi,mra,train,IXI054-Guys-0707-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI054-Guys-0707-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI054-Guys-0707-MRA_IXI-Guys.nii.gz,277,360,100,0.46875012,0.46874997,0.80000001
11,ixi,mra,train,IXI055-Guys-0730-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI055-Guys-0730-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI055-Guys-0730-MRA_IXI-Guys.nii.gz,293,337,100,0.4882808,0.48828098,0.80000001
12,ixi,mra,train,IXI058-Guys-0726-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI058-Guys-0726-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI058-Guys-0726-MRA_IXI-Guys.nii.gz,288,398,100,0.46874985,0.46874985,0.80000001
13,ixi,mra,train,IXI060-Guys-0709-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI060-Guys-0709-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI060-Guys-0709-MRA_IXI-Guys.nii.gz,298,387,100,0.46875006,0.46875009,0.80000001
14,ixi,mra,train,IXI062-Guys-0740-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI062-Guys-0740-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI062-Guys-0740-MRA_IXI-Guys.nii.gz,300,386,100,0.46875009,0.46875,0.80000001
15,ixi,mra,train,IXI064-Guys-0743-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI064-Guys-0743-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI064-Guys-0743-MRA_IXI-Guys.nii.gz,299,385,100,0.46874997,0.46875009,0.80000001
16,ixi,mra,train,IXI065-Guys-0744-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI065-Guys-0744-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI065-Guys-0744-MRA_IXI-Guys.nii.gz,293,375,100,0.46875009,0.46875021,0.80000001
17,ixi,mra,train,IXI066-Guys-0731-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI066-Guys-0731-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI066-Guys-0731-MRA_IXI-Guys.nii.gz,264,344,100,0.48828077,0.48828104,0.80000001
18,ixi,mra,train,IXI068-Guys-0756-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI068-Guys-0756-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI068-Guys-0756-MRA_IXI-Guys.nii.gz,279,372,100,0.46874997,0.46874997,0.80000001
19,ixi,mra,train,IXI069-Guys-0769-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI069-Guys-0769-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI069-Guys-0769-MRA_IXI-Guys.nii.gz,272,348,100,0.46874991,0.46875018,0.80000001
20,ixi,mra,train,IXI070-Guys-0767-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI070-Guys-0767-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI070-Guys-0767-MRA_IXI-Guys.nii.gz,280,377,100,0.46874991,0.46875015,0.80000001
21,ixi,mra,train,IXI071-Guys-0770-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI071-Guys-0770-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI071-Guys-0770-MRA_IXI-Guys.nii.gz,272,348,100,0.46875018,0.46875006,0.80000001
22,ixi,mra,train,IXI073-Guys-0755-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI073-Guys-0755-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI073-Guys-0755-MRA_IXI-Guys.nii.gz,282,333,100,0.46874985,0.46875018,0.80000001
23,ixi,mra,train,IXI074-Guys-0771-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI074-Guys-0771-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI074-Guys-0771-MRA_IXI-Guys.nii.gz,279,356,100,0.46874982,0.46874994,0.80000001
24,ixi,mra,train,IXI076-Guys-0753-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI076-Guys-0753-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI076-Guys-0753-MRA_IXI-Guys.nii.gz,289,372,100,0.46874994,0.46875,0.80000001
25,ixi,mra,train,IXI077-Guys-0752-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI077-Guys-0752-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI077-Guys-0752-MRA_IXI-Guys.nii.gz,264,343,100,0.48828101,0.48828089,0.80000001
26,ixi,mra,train,IXI078-Guys-0751-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI078-Guys-0751-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI078-Guys-0751-MRA_IXI-Guys.nii.gz,283,391,100,0.46874985,0.46875003,0.80000001
27,ixi,mra,train,IXI083-HH-1357-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI083-HH-1357-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI083-HH-1357-MRA_IXI-HH.nii.gz,301,375,100,0.46875,0.46875,0.80000001
28,ixi,mra,train,IXI084-Guys-0741-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI084-Guys-0741-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI084-Guys-0741-MRA_IXI-Guys.nii.gz,287,353,100,0.46874994,0.46874997,0.80000001
29,ixi,mra,train,IXI085-Guys-0759-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI085-Guys-0759-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI085-Guys-0759-MRA_IXI-Guys.nii.gz,309,343,100,0.46875009,0.46874994,0.80000001
30,ixi,mra,train,IXI086-Guys-0728-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI086-Guys-0728-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI086-Guys-0728-MRA_IXI-Guys.nii.gz,301,385,100,0.46874994,0.46874985,0.80000001
31,ixi,mra,train,IXI087-Guys-0768-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI087-Guys-0768-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI087-Guys-0768-MRA_IXI-Guys.nii.gz,273,376,100,0.46875009,0.46875006,0.80000001
32,ixi,mra,train,IXI091-Guys-0762-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI091-Guys-0762-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI091-Guys-0762-MRA_IXI-Guys.nii.gz,302,390,100,0.46874988,0.46874997,0.80000001
33,ixi,mra,train,IXI092-HH-1436-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI092-HH-1436-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI092-HH-1436-MRA_IXI-HH.nii.gz,298,394,100,0.46875,0.46875,0.80000001
34,ixi,mra,train,IXI093-HH-1359-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI093-HH-1359-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI093-HH-1359-MRA_IXI-HH.nii.gz,281,376,100,0.46875,0.46875,0.80000001
35,ixi,mra,train,IXI094-HH-1355-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI094-HH-1355-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI094-HH-1355-MRA_IXI-HH.nii.gz,286,390,100,0.46875,0.46875,0.80000001
36,ixi,mra,train,IXI095-HH-1390-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI095-HH-1390-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI095-HH-1390-MRA_IXI-HH.nii.gz,280,382,100,0.46875,0.46875,0.80000001
37,ixi,mra,train,IXI096-HH-1391-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI096-HH-1391-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI096-HH-1391-MRA_IXI-HH.nii.gz,310,385,100,0.46875,0.46875,0.80000001
38,ixi,mra,train,IXI097-HH-1619-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI097-HH-1619-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI097-HH-1619-MRA_IXI-HH.nii.gz,277,381,100,0.46875,0.46875,0.80000001
39,ixi,mra,train,IXI099-Guys-0748-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI099-Guys-0748-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI099-Guys-0748-MRA_IXI-Guys.nii.gz,308,392,100,0.46875015,0.46875021,0.80000001
40,ixi,mra,train,IXI100-Guys-0747-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI100-Guys-0747-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI100-Guys-0747-MRA_IXI-Guys.nii.gz,299,363,100,0.46875003,0.46874985,0.80000001
41,ixi,mra,train,IXI102-HH-1416-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI102-HH-1416-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI102-HH-1416-MRA_IXI-HH.nii.gz,275,393,100,0.46875,0.46875,0.80000001
42,ixi,mra,train,IXI103-Guys-0750-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI103-Guys-0750-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI103-Guys-0750-MRA_IXI-Guys.nii.gz,281,364,100,0.48828077,0.48828074,0.80000001
43,ixi,mra,train,IXI104-HH-1450-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI104-HH-1450-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI104-HH-1450-MRA_IXI-HH.nii.gz,298,339,100,0.46875,0.46875,0.80000001
44,ixi,mra,train,IXI105-HH-1471-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI105-HH-1471-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI105-HH-1471-MRA_IXI-HH.nii.gz,294,374,100,0.46875,0.46875,0.80000001
45,ixi,mra,train,IXI106-Guys-0760-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI106-Guys-0760-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI106-Guys-0760-MRA_IXI-Guys.nii.gz,299,398,100,0.46875012,0.46874979,0.80000001
46,ixi,mra,train,IXI107-Guys-0761-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI107-Guys-0761-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI107-Guys-0761-MRA_IXI-Guys.nii.gz,295,345,100,0.46874991,0.46875009,0.80000001
47,ixi,mra,train,IXI111-Guys-0734-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI111-Guys-0734-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI111-Guys-0734-MRA_IXI-Guys.nii.gz,311,353,100,0.46874991,0.46875006,0.80000001
48,ixi,mra,train,IXI112-Guys-0735-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI112-Guys-0735-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI112-Guys-0735-MRA_IXI-Guys.nii.gz,312,353,100,0.46874997,0.46875,0.80000001
49,ixi,mra,train,IXI113-Guys-0776-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI113-Guys-0776-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI113-Guys-0776-MRA_IXI-Guys.nii.gz,269,356,100,0.46874997,0.46874994,0.80000001
50,ixi,mra,train,IXI119-Guys-0765-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI119-Guys-0765-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI119-Guys-0765-MRA_IXI-Guys.nii.gz,269,335,100,0.46875009,0.46875024,0.80000001
51,ixi,mra,train,IXI121-Guys-0772-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI121-Guys-0772-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI121-Guys-0772-MRA_IXI-Guys.nii.gz,302,360,100,0.46874982,0.46874982,0.80000001
52,ixi,mra,train,IXI122-Guys-0773-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI122-Guys-0773-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI122-Guys-0773-MRA_IXI-Guys.nii.gz,296,368,100,0.46874994,0.46874994,0.80000001
53,ixi,mra,train,IXI123-Guys-0774-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI123-Guys-0774-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI123-Guys-0774-MRA_IXI-Guys.nii.gz,282,351,100,0.46874976,0.46874988,0.80000001
54,ixi,mra,train,IXI127-HH-1451-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI127-HH-1451-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI127-HH-1451-MRA_IXI-HH.nii.gz,270,378,100,0.46875,0.46875,0.80000001
55,ixi,mra,train,IXI128-HH-1470-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI128-HH-1470-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI128-HH-1470-MRA_IXI-HH.nii.gz,275,380,100,0.46875,0.46875,0.80000001
56,ixi,mra,train,IXI129-Guys-0775-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI129-Guys-0775-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI129-Guys-0775-MRA_IXI-Guys.nii.gz,286,405,100,0.46874991,0.46874979,0.80000001
57,ixi,mra,train,IXI130-HH-1528-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI130-HH-1528-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI130-HH-1528-MRA_IXI-HH.nii.gz,292,396,100,0.46875,0.46875,0.80000001
58,ixi,mra,train,IXI131-HH-1527-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI131-HH-1527-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI131-HH-1527-MRA_IXI-HH.nii.gz,307,383,100,0.46875,0.46875,0.80000001
59,ixi,mra,train,IXI132-HH-1415-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI132-HH-1415-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI132-HH-1415-MRA_IXI-HH.nii.gz,284,375,100,0.46875,0.46875,0.80000001
60,ixi,mra,train,IXI135-Guys-0779-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI135-Guys-0779-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI135-Guys-0779-MRA_IXI-Guys.nii.gz,292,360,100,0.46874979,0.46875006,0.80000001
61,ixi,mra,train,IXI136-HH-1452-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI136-HH-1452-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI136-HH-1452-MRA_IXI-HH.nii.gz,304,375,100,0.46875,0.46875,0.80000001
62,ixi,mra,train,IXI137-HH-1472-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI137-HH-1472-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI137-HH-1472-MRA_IXI-HH.nii.gz,297,364,100,0.46875,0.46875,0.80000001
63,ixi,mra,train,IXI140-Guys-0787-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI140-Guys-0787-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI140-Guys-0787-MRA_IXI-Guys.nii.gz,278,353,100,0.46874991,0.46874979,0.80000001
64,ixi,mra,train,IXI144-Guys-0788-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI144-Guys-0788-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI144-Guys-0788-MRA_IXI-Guys.nii.gz,276,352,100,0.46875006,0.46874997,0.80000001
65,ixi,mra,train,IXI146-HH-1389-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI146-HH-1389-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI146-HH-1389-MRA_IXI-HH.nii.gz,299,372,100,0.46875,0.46875,0.80000001
66,ixi,mra,train,IXI148-HH-1453-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI148-HH-1453-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI148-HH-1453-MRA_IXI-HH.nii.gz,305,379,100,0.46875,0.46875,0.80000001
67,ixi,mra,train,IXI150-HH-1550-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI150-HH-1550-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI150-HH-1550-MRA_IXI-HH.nii.gz,277,336,100,0.46875,0.46875,0.80000001
68,ixi,mra,train,IXI156-Guys-0837-MRA_IXI-Guys,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI156-Guys-0837-MRA_IXI-Guys.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI156-Guys-0837-MRA_IXI-Guys.nii.gz,288,384,100,0.46875,0.46875,0.80000001
69,ixi,mra,train,IXI159-HH-1549-MRA_IXI-HH,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/imagesTr/IXI159-HH-1549-MRA_IXI-HH.nii.gz,/lustre/fsn1/projects/rech/vnc/upz25mj/datasets/IXI/labelsTr/IXI159-HH-1549-MRA_IXI-HH.nii.gz,276,364,100,0.46875,0.46875,0.80000001
